file,type,text
reading-full.mp3,full,"سَلْمَى. أَنَا سَلْمَى. أَنَا طَالِبَةٌ مِصْرِيَّةٌ. أَدْرُسُ الأَدَبَ العَرَبِيَّ فِي الجَامِعَةِ. عُمْرِي عِشْرُونَ سَنَةً. أَسْكُنُ فِي مِنْطَقَةٍ هَادِئَةٍ. وَالِدِي يَعْمَلُ فِي الأُمَمِ المُتَّحِدَةِ، وَوَالِدَتِي تَعْمَلُ فِي مَدْرَسَةٍ. أَحْمَدُ. أَنَا أَحْمَدُ. أَنَا طَالِبٌ مِصْرِيٌّ. أَدْرُسُ اللُّغَةَ العَرَبِيَّةَ. عُمْرِي إِحْدَى وَعِشْرُونَ سَنَةً. أَسْكُنُ فِي نَفْسِ مِنْطَقَةِ سَلْمَى. نَحْنُ فِي نَفْسِ الجَامِعَةِ. وَالِدِي مُدَرِّسٌ، وَوَالِدَتِي طَبِيبَةٌ."
sections/reading-salma.mp3,section,"أَنَا سَلْمَى. أَنَا طَالِبَةٌ مِصْرِيَّةٌ. أَدْرُسُ الأَدَبَ العَرَبِيَّ فِي الجَامِعَةِ. عُمْرِي عِشْرُونَ سَنَةً. أَسْكُنُ فِي مِنْطَقَةٍ هَادِئَةٍ. وَالِدِي يَعْمَلُ فِي الأُمَمِ المُتَّحِدَةِ، وَوَالِدَتِي تَعْمَلُ فِي مَدْرَسَةٍ."
sections/reading-ahmed.mp3,section,"أَنَا أَحْمَدُ. أَنَا طَالِبٌ مِصْرِيٌّ. أَدْرُسُ اللُّغَةَ العَرَبِيَّةَ. عُمْرِي إِحْدَى وَعِشْرُونَ سَنَةً. أَسْكُنُ فِي نَفْسِ مِنْطَقَةِ سَلْمَى. نَحْنُ فِي نَفْسِ الجَامِعَةِ. وَالِدِي مُدَرِّسٌ، وَوَالِدَتِي طَبِيبَةٌ."
sentences/reading-sentence-01.mp3,sentence,أَنَا سَلْمَى.
sentences/reading-sentence-02.mp3,sentence,أَنَا طَالِبَةٌ مِصْرِيَّةٌ.
sentences/reading-sentence-03.mp3,sentence,أَدْرُسُ الأَدَبَ العَرَبِيَّ فِي الجَامِعَةِ.
sentences/reading-sentence-04.mp3,sentence,عُمْرِي عِشْرُونَ سَنَةً.
sentences/reading-sentence-05.mp3,sentence,أَسْكُنُ فِي مِنْطَقَةٍ هَادِئَةٍ.
sentences/reading-sentence-06.mp3,sentence,"وَالِدِي يَعْمَلُ فِي الأُمَمِ المُتَّحِدَةِ، وَوَالِدَتِي تَعْمَلُ فِي مَدْرَسَةٍ."
sentences/reading-sentence-07.mp3,sentence,أَنَا أَحْمَدُ.
sentences/reading-sentence-08.mp3,sentence,أَنَا طَالِبٌ مِصْرِيٌّ.
sentences/reading-sentence-09.mp3,sentence,أَدْرُسُ اللُّغَةَ العَرَبِيَّةَ.
sentences/reading-sentence-10.mp3,sentence,عُمْرِي إِحْدَى وَعِشْرُونَ سَنَةً.
sentences/reading-sentence-11.mp3,sentence,أَسْكُنُ فِي نَفْسِ مِنْطَقَةِ سَلْمَى.
sentences/reading-sentence-12.mp3,sentence,نَحْنُ فِي نَفْسِ الجَامِعَةِ.
sentences/reading-sentence-13.mp3,sentence,"وَالِدِي مُدَرِّسٌ، وَوَالِدَتِي طَبِيبَةٌ."
