Section,Activity,Audio ID,Arabic text,Filename,Status,Problem
"vocabulary","vocabulary-word","l2v-word-01","يَتَكَلَّمُ","word-01-yatakallam.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-01","يَتَكَلَّمُ يُوسُفُ الْعَرَبِيَّةَ.","example-01-yatakallam.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-02","يَتَكَلَّمُ عَنْ","word-02-yatakallam-an.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-02","تَتَكَلَّمُ سَلْمَى عَنْ أُسْرَتِهَا.","example-02-yatakallam-an.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-03","لِي / عِنْدِي","word-03-li-indi.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-03","لِي أُسْرَةٌ صَغِيرَةٌ، وَعِنْدِي كِتَابٌ عَرَبِيٌّ.","example-03-li-indi.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-04","لُغَةٌ","word-04-lugha.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-04","أَدْرُسُ لُغَةً جَدِيدَةً.","example-04-lugha.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-05","الْمَسَاءُ","word-05-almasaa.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-05","أَدْرُسُ فِي الْمَسَاءِ.","example-05-almasaa.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-06","اللَّيْلُ","word-06-allayl.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-06","اللَّيْلُ هَادِئٌ.","example-06-allayl.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-07","النَّهَارُ","word-07-annahar.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-07","أَعْمَلُ فِي النَّهَارِ.","example-07-annahar.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-08","وَحْدَهُ / وَحْدَهَا","word-08-wahdahu-wahdaha.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-08","يَسْكُنُ يُوسُفُ وَحْدَهُ.","example-08-wahdahu-wahdaha.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-09","مُوَظَّفٌ / مُوَظَّفَةٌ","word-09-muwazzaf-muwazzafa.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-09","وَالِدَتِي مُوَظَّفَةٌ فِي مَرْكَزٍ.","example-09-muwazzaf-muwazzafa.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-10","الْيَوْمَ","word-10-alyawm.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-10","أَدْرُسُ الْفُصْحَى الْيَوْمَ.","example-10-alyawm.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-11","الْفُصْحَى","word-11-alfusha.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-11","أَتَكَلَّمُ الْعَرَبِيَّةَ الْفُصْحَى.","example-11-alfusha.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-12","أُسْرَةٌ","word-12-usra.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-12","هٰذِهِ أُسْرَتِي.","example-12-usra.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-13","النَّاسُ","word-13-annas.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-example","l2v-example-13","النَّاسُ فِي مَكْنَاسَ لُطَفَاءُ.","example-13-annas.mp3","Verified file and mapping metadata",""
"vocabulary","vocabulary-word","l2v-word-14","أَيْضًا","word-14-aydan.mp3","Verified file and mapping metadata",""
